,USD,GBP,EUR,JPY100,CHF,AUD,CAD,SGD,HKD100
2 May 2003,3.8000,6.1162,4.2608,3.1966,2.8201,0.0000,0.0000,2.1473,48.7234
5 May 2003,3.8000,6.0901,4.2608,3.1927,2.8177,0.0000,0.0000,2.1533,48.7234
6 May 2003,3.8000,6.1162,4.3085,3.2100,2.8417,0.0000,0.0000,2.1772,48.7234
7 May 2003,3.8000,6.1237,4.3346,3.2295,2.8596,0.0000,0.0000,2.1801,48.7234
8 May 2003,3.8000,6.0606,4.3066,3.2688,2.8653,0.0000,0.0000,2.1872,48.7234
9 May 2003,3.8000,6.1087,4.3764,3.2389,2.8977,0.0000,0.0000,2.1829,48.7234
12 May 2003,3.8000,6.1275,4.4111,3.2656,2.9180,0.0000,0.0000,2.1939,48.7234
13 May 2003,3.8000,6.1050,4.3706,3.2448,2.8902,0.0000,0.0000,2.1935,48.7234
16 May 2003,3.8000,6.1576,4.3365,3.2654,2.8760,0.0000,0.0000,2.2017,48.7234
19 May 2003,3.8000,6.2073,4.4425,3.2980,2.9351,0.0000,0.0000,2.2060,48.7258
20 May 2003,3.8000,6.2035,4.4189,3.2401,2.9231,0.0000,0.0000,2.1939,48.7234
21 May 2003,3.8000,6.2422,4.4524,3.2571,2.9481,0.0000,0.0000,2.2026,48.7234
22 May 2003,3.8000,6.2112,4.4287,3.2303,2.9300,0.0000,0.0000,2.2012,48.7234
23 May 2003,3.8000,6.2189,4.4524,3.2407,2.9283,0.0000,0.0000,2.2056,48.7258
26 May 2003,3.8000,6.2344,4.4883,3.2508,2.9455,0.0000,0.0000,2.2075,48.7258
27 May 2003,3.8000,6.2383,4.5208,3.2533,2.9577,0.0000,0.0000,2.2041,48.7258
28 May 2003,3.8000,6.2228,4.4743,3.2343,2.9403,0.0000,0.0000,2.1993,48.7258
29 May 2003,3.8000,6.2035,4.4524,3.1911,2.9129,0.0000,0.0000,2.1887,48.7282
30 May 2003,3.8000,6.2775,4.5045,3.2027,2.9455,0.0000,0.0000,2.1949,48.7282
2 Jun 2003,3.8000,6.1805,4.4405,3.2019,2.9061,0.0000,0.0000,2.1959,48.7258
3 Jun 2003,3.8000,6.2383,4.4723,3.2018,2.9189,0.0000,0.0000,2.2022,48.7258
4 Jun 2003,3.8000,6.1996,4.4623,3.2018,2.9036,0.0000,0.0000,2.2041,48.7282
5 Jun 2003,3.8000,6.2073,4.4326,3.2138,2.8885,0.0000,0.0000,2.2056,48.7258
6 Jun 2003,3.8000,6.3291,4.4964,3.2213,2.9138,0.0000,0.0000,2.2046,48.7258
9 Jun 2003,3.8000,6.3291,4.4405,3.2072,2.8719,0.0000,0.0000,2.1978,48.7282
10 Jun 2003,3.8000,6.2814,4.4504,3.2152,2.8843,0.0000,0.0000,2.1939,48.7282
11 Jun 2003,3.8000,6.3171,4.4484,3.2246,2.8910,0.0000,0.0000,2.1891,48.7258
12 Jun 2003,3.8000,6.3776,4.4863,3.2312,2.9163,0.0000,0.0000,2.1867,48.7234
13 Jun 2003,3.8000,6.3492,4.4743,3.2281,2.9011,0.0000,0.0000,2.1911,48.7234
16 Jun 2003,3.8000,6.3776,4.5310,3.2328,2.9334,0.0000,0.0000,2.1988,48.7258
17 Jun 2003,3.8000,6.3980,4.4944,3.2301,2.9189,0.0000,0.0000,2.2007,48.7234
18 Jun 2003,3.8000,6.3898,4.4703,3.2122,2.9002,0.0000,0.0000,2.1978,48.7258
19 Jun 2003,3.8000,6.3694,4.4170,3.2028,2.8531,0.0000,0.0000,2.1935,48.7258
20 Jun 2003,3.8000,6.3816,4.4444,3.2111,2.8760,0.0000,0.0000,2.1887,48.7234
23 Jun 2003,3.8000,6.3251,4.4033,3.2175,2.8612,0.0000,0.0000,2.1853,48.7258
24 Jun 2003,3.8000,6.3412,4.3860,3.2251,2.8629,0.0000,0.0000,2.1844,48.7258
25 Jun 2003,3.8000,6.3171,4.3764,3.2347,2.8596,0.0000,0.0000,2.1844,48.7282
26 Jun 2003,3.8000,6.3412,4.3745,3.2150,2.8458,0.0000,0.0000,2.1734,48.7282
27 Jun 2003,3.8000,6.2933,4.3384,3.1753,2.8066,0.0000,0.0000,2.1678,48.7306
30 Jun 2003,3.8000,6.2775,4.3516,3.1721,2.8050,0.0000,0.0000,2.1584,48.7282
1 Jul 2003,3.8000,6.2814,4.3860,3.1743,2.8193,0.0000,0.0000,2.1612,48.7282
2 Jul 2003,3.8000,6.3131,4.3840,3.1871,2.8265,0.0000,0.0000,2.1631,48.7282
3 Jul 2003,3.8000,6.3211,4.3630,3.2153,2.8106,0.0000,0.0000,2.1692,48.7282
4 Jul 2003,3.8000,6.3492,4.3611,3.2153,2.8129,0.0000,0.0000,2.1701,48.7282
7 Jul 2003,3.8000,6.3131,4.3384,3.2186,2.7956,0.0000,0.0000,2.1734,48.7282
8 Jul 2003,3.8000,6.2461,4.3011,3.2142,2.7685,0.0000,0.0000,2.1645,48.7282
9 Jul 2003,3.8000,6.1920,4.3029,3.2134,2.7863,0.0000,0.0000,2.1654,48.7258
10 Jul 2003,3.8000,6.2073,4.3178,3.2343,2.7996,0.0000,0.0000,2.1701,48.7234
11 Jul 2003,3.8000,6.2073,4.3085,3.2269,2.7824,0.0000,0.0000,2.1626,48.7234
14 Jul 2003,3.8000,6.1767,4.2808,3.2320,2.7563,0.0000,0.0000,2.1659,48.7211
15 Jul 2003,3.8000,6.1200,4.2882,3.2317,2.7632,0.0000,0.0000,2.1650,48.7211
16 Jul 2003,3.8000,6.0314,4.2265,3.2129,2.7285,0.0000,0.0000,2.1570,48.7211
17 Jul 2003,3.8000,6.0643,4.2699,3.2142,2.7785,0.0000,0.0000,2.1608,48.7211
18 Jul 2003,3.8000,6.0643,4.2662,3.1934,2.7732,0.0000,0.0000,2.1561,48.7234
21 Jul 2003,3.8000,6.0277,4.2808,3.2058,2.7855,0.0000,0.0000,2.1612,48.7211
22 Jul 2003,3.8000,6.0938,4.3141,3.1856,2.7988,0.0000,0.0000,2.1598,48.7211
23 Jul 2003,3.8000,6.0864,4.3271,3.1961,2.8035,0.0000,0.0000,2.1636,48.7211
24 Jul 2003,3.8000,6.1237,4.3745,3.2028,2.8233,0.0000,0.0000,2.1720,48.7234
25 Jul 2003,3.8000,6.1501,4.3668,3.1942,2.8233,0.0000,0.0000,2.1739,48.7234
28 Jul 2003,3.8000,6.1614,4.3649,3.1899,2.8209,0.0000,0.0000,2.1734,48.7258
29 Jul 2003,3.8000,6.1881,4.3764,3.1859,2.8281,0.0000,0.0000,2.1678,48.7234
30 Jul 2003,3.8000,6.1576,4.3440,3.1671,2.8043,0.0000,0.0000,2.1636,48.7234
31 Jul 2003,3.8000,6.1275,4.3048,3.1642,2.7809,0.0000,0.0000,2.1598,48.7234
1 Aug 2003,3.8000,6.1013,4.2589,3.1560,2.7685,0.0000,0.0000,2.1542,48.7211
4 Aug 2003,3.8000,6.1350,4.2992,3.1710,2.7996,0.0000,0.0000,2.1608,48.7234
5 Aug 2003,3.8000,6.1312,4.3234,3.1550,2.8201,0.0000,0.0000,2.1533,48.7234
